|0|0.buoys|0.ships|1|1.buoys|1.ships|2|2.buoys|2.ships|nreports|nreports.buoys|nreports.ships
1947-02-01|26334|0|26334|528.0|0|528.0|137.0|0|137.0|26999|0|26999
1947-03-01|28619|0|28619|431.0|0|431.0|132.0|0|132.0|29182|0|29182
1947-04-01|26852|0|26852|1065.0|0|1065.0|106.0|0|106.0|28023|0|28023
1947-05-01|29485|0|29485|1203.0|0|1203.0|189.0|0|189.0|30877|0|30877
1947-06-01|31562|0|31562|1374.0|0|1374.0|258.0|0|258.0|33194|0|33194
1947-07-01|31685|0|31685|846.0|0|846.0|375.0|0|375.0|32906|0|32906
1947-08-01|30809|0|30809|453.0|0|453.0|447.0|0|447.0|31709|0|31709
1947-09-01|31209|0|31209|646.0|0|646.0|430.0|0|430.0|32285|0|32285
1947-10-01|30711|0|30711|928.0|0|928.0|478.0|0|478.0|32117|0|32117
1947-11-01|30461|0|30461|1082.0|0|1082.0|384.0|0|384.0|31927|0|31927
1947-12-01|32250|0|32250|1602.0|0|1602.0|307.0|0|307.0|34159|0|34159
1948-01-01|29220|0|29220|1002.0|0|1002.0|70.0|0|70.0|30292|0|30292
1948-02-01|27524|0|27524|1035.0|0|1035.0|79.0|0|79.0|28638|0|28638
1948-03-01|32410|0|32410|839.0|0|839.0|217.0|0|217.0|33466|0|33466
1948-04-01|32630|0|32630|422.0|0|422.0|182.0|0|182.0|33234|0|33234
1948-05-01|33540|0|33540|291.0|0|291.0|137.0|0|137.0|33968|0|33968
1948-06-01|31527|0|31527|471.0|0|471.0|252.0|0|252.0|32250|0|32250
1948-07-01|36531|0|36531|832.0|0|832.0|162.0|0|162.0|37525|0|37525
1948-08-01|35000|0|35000|609.0|0|609.0|499.0|0|499.0|36108|0|36108
1948-09-01|34077|0|34077|1565.0|0|1565.0|114.0|0|114.0|35756|0|35756
1948-10-01|34223|0|34223|953.0|0|953.0|382.0|0|382.0|35558|0|35558
1948-11-01|34721|0|34721|1230.0|0|1230.0|294.0|0|294.0|36245|0|36245
1948-12-01|31472|0|31472|550.0|0|550.0|128.0|0|128.0|32150|0|32150
1949-01-01|45070|0|45070|914.0|0|914.0|3239.0|0|3239.0|49223|0|49223
1949-02-01|45437|0|45437|895.0|0|895.0|3514.0|0|3514.0|49846|0|49846
1949-03-01|50628|0|50628|919.0|0|919.0|3859.0|0|3859.0|55406|0|55406
1949-04-01|45464|0|45464|859.0|0|859.0|3739.0|0|3739.0|50062|0|50062
1949-05-01|50895|0|50895|936.0|0|936.0|3823.0|0|3823.0|55654|0|55654
1949-06-01|49971|0|49971|1029.0|0|1029.0|4228.0|0|4228.0|55228|0|55228
1949-07-01|53775|0|53775|789.0|0|789.0|4234.0|0|4234.0|58798|0|58798
1949-08-01|53784|0|53784|1121.0|0|1121.0|4552.0|0|4552.0|59457|0|59457
1949-09-01|53409|0|53409|1166.0|0|1166.0|4610.0|0|4610.0|59185|0|59185
1949-10-01|54968|0|54968|863.0|0|863.0|4022.0|0|4022.0|59853|0|59853
1949-11-01|48342|0|48342|943.0|0|943.0|3290.0|0|3290.0|52575|0|52575
1949-12-01|44889|0|44889|843.0|0|843.0|3534.0|0|3534.0|49266|0|49266
1950-01-01|48707|0|48707|726.0|0|726.0|4042.0|0|4042.0|53475|0|53475
1950-02-01|44589|0|44589|759.0|0|759.0|3987.0|0|3987.0|49335|0|49335
1950-03-01|52252|0|52252|728.0|0|728.0|4458.0|0|4458.0|57438|0|57438
1950-04-01|46863|0|46863|654.0|0|654.0|4353.0|0|4353.0|51870|0|51870
1950-05-01|49886|0|49886|630.0|0|630.0|4219.0|0|4219.0|54735|0|54735
1950-06-01|49141|0|49141|657.0|0|657.0|4293.0|0|4293.0|54091|0|54091
1950-07-01|52847|0|52847|634.0|0|634.0|5113.0|0|5113.0|58594|0|58594
1950-08-01|54004|0|54004|675.0|0|675.0|5048.0|0|5048.0|59727|0|59727
1950-09-01|52340|0|52340|631.0|0|631.0|4156.0|0|4156.0|57127|0|57127
1950-10-01|56133|0|56133|570.0|0|570.0|5031.0|0|5031.0|61734|0|61734
1950-11-01|54368|0|54368|660.0|0|660.0|4393.0|0|4393.0|59421|0|59421
1950-12-01|57661|0|57661|624.0|0|624.0|4800.0|0|4800.0|63085|0|63085
1951-01-01|63614|0|63614|522.0|0|522.0|4326.0|0|4326.0|68462|0|68462
1951-02-01|59382|0|59382|521.0|0|521.0|4651.0|0|4651.0|64554|0|64554
1951-03-01|66304|0|66304|662.0|0|662.0|4915.0|0|4915.0|71881|0|71881
1951-04-01|63734|0|63734|706.0|0|706.0|4476.0|0|4476.0|68916|0|68916
1951-05-01|63677|0|63677|667.0|0|667.0|4916.0|0|4916.0|69260|0|69260
1951-06-01|64647|0|64647|681.0|0|681.0|26819.0|0|26819.0|92147|0|92147
1951-07-01|70016|0|70016|740.0|0|740.0|35154.0|0|35154.0|105910|0|105910
1951-08-01|74319|0|74319|821.0|0|821.0|36573.0|0|36573.0|111713|0|111713
1951-09-01|73237|0|73237|799.0|0|799.0|34062.0|0|34062.0|108098|0|108098
1951-10-01|74863|0|74863|916.0|0|916.0|31597.0|0|31597.0|107376|0|107376
1951-11-01|72280|0|72280|674.0|0|674.0|29540.0|0|29540.0|102494|0|102494
1951-12-01|73297|0|73297|746.0|0|746.0|23831.0|0|23831.0|97874|0|97874
1952-01-01|77323|0|77323|1171.0|0|1171.0|40330.0|0|40330.0|118824|0|118824
1952-02-01|81463|0|81463|759.0|0|759.0|45316.0|0|45316.0|127538|0|127538
1952-03-01|88118|0|88118|818.0|0|818.0|53591.0|0|53591.0|142527|0|142527
1952-04-01|82700|0|82700|1135.0|0|1135.0|48957.0|0|48957.0|132792|0|132792
1952-05-01|82431|0|82431|827.0|0|827.0|45489.0|0|45489.0|128747|0|128747
1952-06-01|82655|0|82655|742.0|0|742.0|48523.0|0|48523.0|131920|0|131920
1952-07-01|85880|0|85880|640.0|0|640.0|55303.0|0|55303.0|141823|0|141823
1952-08-01|85437|0|85437|970.0|0|970.0|55082.0|0|55082.0|141489|0|141489
1952-09-01|87095|0|87095|912.0|0|912.0|58326.0|0|58326.0|146333|0|146333
1952-10-01|89648|0|89648|773.0|0|773.0|55688.0|0|55688.0|146109|0|146109
1952-11-01|82516|0|82516|783.0|0|783.0|49578.0|0|49578.0|132877|0|132877
1952-12-01|80414|0|80414|642.0|0|642.0|38460.0|0|38460.0|119516|0|119516
1953-01-01|88471|0|88471|840.0|0|840.0|52525.0|0|52525.0|141836|0|141836
1953-02-01|83758|0|83758|666.0|0|666.0|51653.0|0|51653.0|136077|0|136077
1953-03-01|90875|0|90875|771.0|0|771.0|56583.0|0|56583.0|148229|0|148229
1953-04-01|89402|0|89402|657.0|0|657.0|47797.0|0|47797.0|137856|0|137856
1953-05-01|96929|0|96929|981.0|0|981.0|49448.0|0|49448.0|147358|0|147358
1953-06-01|93959|0|93959|664.0|0|664.0|49123.0|0|49123.0|143746|0|143746
1953-07-01|99382|0|99382|740.0|0|740.0|52841.0|0|52841.0|152963|0|152963
1953-08-01|100811|0|100811|851.0|0|851.0|50530.0|0|50530.0|152192|0|152192
1953-09-01|96240|0|96240|827.0|0|827.0|44987.0|0|44987.0|142054|0|142054
1953-10-01|98493|0|98493|773.0|0|773.0|45677.0|0|45677.0|144943|0|144943
1953-11-01|91723|0|91723|989.0|0|989.0|39409.0|0|39409.0|132121|0|132121
1953-12-01|89744|0|89744|718.0|0|718.0|29957.0|0|29957.0|120419|0|120419
1954-01-01|92502|0|92502|929.0|0|929.0|42869.0|0|42869.0|136300|0|136300
1954-02-01|87683|0|87683|552.0|0|552.0|47705.0|0|47705.0|135940|0|135940
1954-03-01|95781|0|95781|750.0|0|750.0|46150.0|0|46150.0|142681|0|142681
1954-04-01|91636|0|91636|563.0|0|563.0|45974.0|0|45974.0|138173|0|138173
1954-05-01|96511|0|96511|799.0|0|799.0|46333.0|0|46333.0|143643|0|143643
1954-06-01|92750|0|92750|614.0|0|614.0|40791.0|0|40791.0|134155|0|134155
1954-07-01|94809|0|94809|518.0|0|518.0|44092.0|0|44092.0|139419|0|139419
1954-08-01|92719|0|92719|462.0|0|462.0|41201.0|0|41201.0|134382|0|134382
1954-09-01|90924|0|90924|659.0|0|659.0|40111.0|0|40111.0|131694|0|131694
1954-10-01|94497|0|94497|590.0|0|590.0|40077.0|0|40077.0|135164|0|135164
1954-11-01|90315|0|90315|760.0|0|760.0|40043.0|0|40043.0|131118|0|131118
1954-12-01|88307|0|88307|765.0|0|765.0|26035.0|0|26035.0|115107|0|115107
1955-01-01|95844|0|95844|606.0|0|606.0|40213.0|0|40213.0|136663|0|136663
1955-02-01|91168|0|91168|702.0|0|702.0|38542.0|0|38542.0|130412|0|130412
1955-03-01|101934|0|101934|583.0|0|583.0|45419.0|0|45419.0|147936|0|147936
1955-04-01|92833|0|92833|525.0|0|525.0|35748.0|0|35748.0|129106|0|129106
1955-05-01|99125|0|99125|874.0|0|874.0|39089.0|0|39089.0|139088|0|139088
1955-06-01|94272|0|94272|529.0|0|529.0|36662.0|0|36662.0|131463|0|131463
1955-07-01|101474|0|101474|664.0|0|664.0|44433.0|0|44433.0|146571|0|146571
1955-08-01|103382|0|103382|615.0|0|615.0|43469.0|0|43469.0|147466|0|147466
